,open,close,prediction,action,gp,var,cvar
2024-09-14 09:15:00,2428.77,2429.15,2425.8115,sell,-0.00015643332029726824,-0.00015643332029726824,
2024-09-14 09:30:00,2429.15,2427.1,2435.507,buy,-0.0008439165963403585,-0.0008095424325382039,-0.00015643332029726824
2024-09-14 09:45:00,2427.1,2424.99,2435.1746,buy,-0.0008693502533888704,-0.0008668068876840192,-0.00048298787641773606
2024-09-14 10:00:00,2425.0,2430.19,2426.6536,buy,0.0021402061855670326,-0.0008655352048315936,-0.0006109275468398305
2024-09-14 10:15:00,2430.2,2431.92,2422.955,sell,-0.0007072601072404745,-0.000864263521979168,-0.0006745794613377713
2024-09-14 10:30:00,2431.93,2432.9,2432.8235,buy,0.00039886016456076233,-0.0008629918391267424,-0.0007125162734660506
2024-09-14 10:45:00,2432.9,2432.94,2431.7952,sell,-1.644101375289305e-05,-0.0008617201562743168,-0.0007375955344094991
2024-09-14 11:00:00,2432.94,2432.52,2430.814,sell,0.00017266045089046452,-0.0008604484734218912,-0.0007553276232473303
2024-09-14 11:15:00,2432.53,2429.0,2428.5864,sell,0.001453272951832112,-0.0008591767905694656,-0.0007684677295191504
2024-09-14 11:30:00,2429.01,2427.71,2430.4907,buy,-0.0005351974672809835,-0.00085790510771704,-0.0007785465140802965
2024-09-14 11:45:00,2427.71,2426.18,2428.8489,buy,-0.0006302235439983359,-0.0008566334248646145,-0.0007864823734439709
2024-09-14 12:00:00,2426.18,2425.26,2428.8489,buy,-0.00037919692685605273,-0.0008553617420121889,-0.0007928597417549385
2024-09-14 12:15:00,2425.25,2420.36,2427.4792,buy,-0.0020162869807235843,-0.0013281249443227558,-0.000798068241776376
2024-09-14 12:30:00,2420.36,2423.32,2429.5786,buy,0.0012229585681469023,-0.0012707781079560202,-0.0008388418342799436
2024-09-14 12:45:00,2423.32,2414.81,2416.6917,sell,0.0035240867811547156,-0.0012134312715892845,-0.0008696944252568062
2024-09-14 13:00:00,2414.81,2420.39,2428.3486,buy,0.0023107408036242717,-0.001156084435222549,-0.0008926102150123048
2024-09-14 13:15:00,2420.39,2418.52,2414.6008,sell,0.0007732001389278943,-0.0010987375988558133,-0.0009090773537754451
2024-09-14 13:30:00,2418.52,2418.79,2417.2542,sell,-0.00011162606096435896,-0.0010413907624890774,-0.0009202338387801726
2024-09-14 13:45:00,2418.8,2419.31,2414.836,sell,-0.00021080390689897678,-0.0009840439261223418,-0.0009269647789862229
2024-09-14 14:00:00,2419.31,2418.54,2414.9941,sell,0.0003183738949944933,-0.000926697089755606,-0.0009299689446249661
2024-09-14 14:15:00,2418.55,2418.04,2416.989,sell,0.00021091462506832735,-0.0008693502533888704,-0.0009298053518814981
2024-09-14 14:30:00,2418.05,2419.13,2416.0674,sell,-0.00044644148929570845,-0.0008680785705364448,-0.0009269265376675635
2024-09-14 14:45:00,2419.13,2420.23,2413.2324,sell,-0.00045450225804981716,-0.0008668068876840192,-0.0009242516300706945
2024-09-14 15:00:00,2420.23,2419.87,2414.3782,sell,0.0001487683222652983,-0.0008655352048315936,-0.0009217540325756216
2024-09-14 15:15:00,2419.87,2416.71,2428.0261,buy,-0.0013058552732170962,-0.001218554269251451,-0.0009194115814196204
2024-09-14 15:30:00,2416.71,2415.25,2426.7615,buy,-0.0006041270984106643,-0.0011967290182600396,-0.0009313772889328936
2024-09-14 15:45:00,2415.25,2415.54,2414.5127,sell,-0.00012005597092160081,-0.0011749037672686283,-0.0009415831246762454
2024-09-14 16:00:00,2415.54,2418.25,2409.088,sell,-0.0011206450945932126,-0.001241031710698737,-0.0009502246299574448
2024-09-14 16:15:00,2418.26,2416.94,2410.2073,sell,0.0005461451256548212,-0.0012317712017675428,-0.0009606105971267766
2024-09-14 16:30:00,2416.94,2416.09,2426.7825,buy,-0.0003516843612170385,-0.0012225106928363486,-0.0009699609628040445
2024-09-14 16:45:00,2416.1,2420.2,2425.5183,buy,0.001696949629568275,-0.0012132501839051545,-0.0009783792871384544
2024-09-14 17:00:00,2420.2,2416.91,2410.2522,sell,0.0013612422473323225,-0.0012039896749739601,-0.0009859557676793157
2024-09-14 17:15:00,2416.91,2417.5,2423.7847,buy,0.00024411335134537303,-0.001194729166042766,-0.0009927693272822734
2024-09-14 17:30:00,2417.49,2415.42,2424.243,buy,-0.0008562600052118971,-0.0011854686571115718,-0.0009988893223962278
2024-09-14 17:45:00,2415.42,2413.6,2423.8752,buy,-0.000753492146293466,-0.0011762081481803777,-0.0010043769498878554
2024-09-14 18:00:00,2413.59,2411.0,2423.9062,buy,-0.0010730902928832756,-0.0011669476392491835,-0.0010092864126962132
2024-09-14 18:15:00,2410.99,2412.53,2408.8354,sell,-0.0006383340310795796,-0.0011576871303179894,-0.0010136658912115735
2024-09-14 18:30:00,2412.52,2412.5,2408.2515,sell,8.290155440406967e-06,-0.001148426621386795,-0.0010175583571333685
2024-09-14 18:45:00,2412.49,2417.07,2408.0713,sell,-0.00189485616883267,-0.0013647553627786535,-0.0010210022588242483
2024-09-14 19:00:00,2417.08,2421.32,2408.8967,sell,-0.001751110964267522,-0.0017582982244957793,-0.0010298164409769254
